0.000000	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.999996	0.000000	0.000001
0.000001	0.000006	0.999973	0.000001	0.000000	0.000000	0.000019	0.000000	0.000000	0.000000
0.000000	0.999961	0.000001	0.000000	0.000026	0.000000	0.000005	0.000002	0.000004	0.000000
0.999345	0.000000	0.000001	0.000002	0.000000	0.000009	0.000602	0.000002	0.000037	0.000001
0.000000	0.000000	0.000000	0.000000	0.999789	0.000000	0.000000	0.000000	0.000000	0.000210
0.000000	0.999915	0.000000	0.000000	0.000070	0.000000	0.000000	0.000007	0.000006	0.000002
0.000000	0.000000	0.000000	0.000000	0.998277	0.000000	0.000000	0.000002	0.001646	0.000075
0.000001	0.000001	0.000125	0.001336	0.001121	0.000361	0.000000	0.000116	0.000998	0.995942
0.000032	0.000000	0.000003	0.000001	0.000000	0.973095	0.024294	0.000000	0.002276	0.000299
0.000000	0.000000	0.000000	0.000001	0.000048	0.000000	0.000000	0.000580	0.000006	0.999365
0.999988	0.000000	0.000009	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000001
0.000018	0.000000	0.000000	0.000000	0.000000	0.000000	0.999980	0.000000	0.000001	0.000000
0.000000	0.000000	0.000000	0.000004	0.000301	0.000000	0.000000	0.000020	0.000015	0.999660
0.999993	0.000000	0.000000	0.000000	0.000000	0.000002	0.000002	0.000001	0.000001	0.000002
0.000000	0.999813	0.000002	0.000001	0.000018	0.000003	0.000004	0.000000	0.000156	0.000001
0.000000	0.000000	0.000000	0.000128	0.000000	0.999867	0.000000	0.000000	0.000004	0.000000
0.000000	0.000000	0.000000	0.000000	0.000018	0.000000	0.000000	0.000046	0.000001	0.999934
0.000000	0.000000	0.000002	0.000002	0.000000	0.000000	0.000000	0.999994	0.000000	0.000001
0.000030	0.000000	0.000096	0.424846	0.000000	0.456588	0.000012	0.000099	0.117976	0.000352
0.000000	0.000000	0.000000	0.000000	0.999992	0.000000	0.000000	0.000002	0.000000	0.000005
